******************************************************************
records on FG_NET dataset under leave one person out protocol

******************************************************************


******************************************************************
train and test on ID: 1
******************************************************************
epoch, train_total_loss, train_cross_entropy_loss, train_kl_loss, train_argmax_MAE, train_accuracy
036, 3.6527, 27.2929, 3.6527, 1.7859, 97.6492
037, 3.8485, 27.2595, 3.8485, 1.9717, 97.4513
038, 3.5362, 27.0141, 3.5362, 1.7515, 97.7043
039, 3.4169, 26.9525, 3.4169, 1.6848, 97.7717
040, 3.6024, 27.2642, 3.6024, 1.7727, 97.6880
041, 3.5029, 26.9197, 3.5029, 1.6616, 97.7717
042, 3.6351, 27.1333, 3.6351, 1.8960, 97.5890
043, 3.2393, 26.6466, 3.2393, 1.5798, 97.8839
044, 3.3662, 26.7012, 3.3662, 1.6253, 97.8421
045, 3.3474, 26.8365, 3.3474, 1.6444, 97.7992
046, 3.4184, 26.9887, 3.4184, 1.7354, 97.7319
047, 3.5287, 26.9828, 3.5287, 1.7283, 97.7166
048, 3.2004, 26.5650, 3.2004, 1.5667, 97.9176
049, 3.2043, 26.6009, 3.2043, 1.5566, 97.9155
050, 3.4225, 26.9644, 3.4225, 1.6394, 97.8359
051, 2.9899, 26.2148, 2.9899, 1.4374, 98.0410
052, 3.3692, 26.7284, 3.3692, 1.6293, 97.8043
053, 3.0624, 26.4015, 3.0624, 1.5141, 97.9522
054, 3.3263, 26.7403, 3.3263, 1.7232, 97.7533
055, 3.2813, 26.7205, 3.2813, 1.5667, 97.8798
056, 3.1733, 26.5641, 3.1733, 1.5889, 97.8727
057, 3.2695, 26.7116, 3.2695, 1.6111, 97.8380
058, 3.2397, 26.6725, 3.2397, 1.5788, 97.8502
059, 3.2587, 26.6989, 3.2587, 1.5879, 97.8523
060, 3.3098, 26.7554, 3.3098, 1.6253, 97.8390
061, 3.1787, 26.5076, 3.1787, 1.5303, 97.9114
062, 3.3253, 26.7244, 3.3253, 1.6343, 97.7941
063, 3.2447, 26.6058, 3.2447, 1.5727, 97.8482
064, 3.2881, 26.6798, 3.2881, 1.5556, 97.9216
065, 3.2331, 26.7195, 3.2331, 1.5626, 97.8961
test_total_loss, test_cross_entropy_loss, test_kl_loss, test_argmax_MAE, test_accuracy:
20.9394, 48.8630, 20.9394, 8.8333, 90.0673

******************************************************************
train and test on ID: 5
******************************************************************
epoch, train_total_loss, train_cross_entropy_loss, train_kl_loss, train_argmax_MAE, train_accuracy
001, 20.5680, 46.7965, 20.5680, 10.5096, 88.3823
002, 12.6633, 38.5177, 12.6633, 6.6509, 92.7876
003, 11.3111, 36.9002, 11.3111, 5.9647, 93.4766
004, 9.7902, 34.8757, 9.7902, 5.1241, 94.3328
005, 8.8565, 33.7098, 8.8565, 4.5348, 94.8873
006, 8.6849, 33.5641, 8.6849, 4.4914, 94.9393
007, 8.1653, 32.9121, 8.1653, 4.2704, 95.1849
008, 7.2612, 31.6624, 7.2612, 3.7316, 95.6793
009, 7.1298, 31.5777, 7.1298, 3.6539, 95.7466
010, 7.0332, 31.5074, 7.0332, 3.7699, 95.6752
011, 6.5203, 30.8232, 6.5203, 3.3169, 96.0890
012, 6.9098, 31.3612, 6.9098, 3.6589, 95.7170
013, 6.6924, 31.0664, 6.6924, 3.5207, 95.9056
014, 6.6919, 31.0344, 6.6919, 3.3562, 96.0809
015, 6.0870, 30.2757, 6.0870, 3.1948, 96.2399
016, 6.0580, 30.2406, 6.0580, 3.1655, 96.2399
017, 6.4798, 30.7272, 6.4798, 3.3653, 96.0279
018, 6.0417, 30.2712, 6.0417, 3.0373, 96.3897
019, 5.5017, 29.4463, 5.5017, 2.7437, 96.6710
020, 5.5636, 29.6124, 5.5636, 2.7861, 96.6344
021, 5.4740, 29.5279, 5.4740, 2.7477, 96.6629
022, 5.2057, 29.1151, 5.2057, 2.6751, 96.7261
023, 5.4472, 29.4023, 5.4472, 2.7417, 96.6547
024, 5.1550, 29.0470, 5.1550, 2.7528, 96.6445
025, 5.1464, 29.0860, 5.1464, 2.5762, 96.8158
026, 5.4041, 29.3532, 5.4041, 2.7497, 96.6547
027, 5.0140, 28.8807, 5.0140, 2.4894, 96.8994
028, 4.8474, 28.6345, 4.8474, 2.4753, 96.9422
029, 4.8301, 28.7022, 4.8301, 2.4965, 96.9228
030, 4.5343, 28.1860, 4.5343, 2.2725, 97.1287
031, 4.4014, 28.0991, 4.4014, 2.2926, 97.1358
032, 4.0850, 27.8527, 4.0850, 2.0565, 97.3896
033, 4.0045, 27.5446, 4.0045, 2.0182, 97.3998
034, 3.9075, 27.3587, 3.9075, 1.9384, 97.5038
035, 4.0164, 27.7836, 4.0164, 1.9647, 97.4600
036, 3.7816, 27.2891, 3.7816, 1.8940, 97.5965
037, 3.9950, 27.7541, 3.9950, 1.9879, 97.4212
038, 3.4587, 26.7394, 3.4587, 1.6801, 97.7871
039, 3.7562, 27.3432, 3.7562, 1.8920, 97.4987
040, 3.7451, 27.3156, 3.7451, 1.8517, 97.5874
041, 3.5075, 27.0216, 3.5075, 1.6579, 97.7596
042, 3.3935, 26.8710, 3.3935, 1.6408, 97.8208
043, 3.2645, 26.7104, 3.2645, 1.6145, 97.8320
044, 3.6837, 27.1658, 3.6837, 1.8184, 97.5925
045, 3.6524, 27.1601, 3.6524, 1.7497, 97.6954
046, 3.4871, 26.9490, 3.4871, 1.7487, 97.7076
047, 3.5787, 27.1168, 3.5787, 1.7598, 97.6434
048, 3.5652, 27.0061, 3.5652, 1.7861, 97.6577
049, 3.3894, 26.8334, 3.3894, 1.6105, 97.8391
050, 3.2468, 26.6343, 3.2468, 1.5641, 97.8656
051, 3.2225, 26.5620, 3.2225, 1.5691, 97.9115
052, 3.0887, 26.4575, 3.0887, 1.4813, 97.9594
053, 3.5343, 27.0816, 3.5343, 1.7003, 97.7352
054, 3.2578, 26.6717, 3.2578, 1.5923, 97.8391
055, 3.3773, 26.8157, 3.3773, 1.6266, 97.8075
056, 3.3514, 26.8061, 3.3514, 1.6196, 97.8463
057, 3.4886, 27.0367, 3.4886, 1.7094, 97.7087
058, 3.2760, 26.6243, 3.2760, 1.5964, 97.8452
059, 2.9738, 26.2369, 2.9738, 1.3845, 98.0481
060, 3.3115, 26.7454, 3.3115, 1.6095, 97.8218
061, 3.4411, 26.9281, 3.4411, 1.7084, 97.7250
062, 3.2841, 26.7940, 3.2841, 1.5974, 97.8534
063, 3.2355, 26.6230, 3.2355, 1.5479, 97.9105
064, 3.3172, 26.7667, 3.3172, 1.6519, 97.7882
065, 3.3334, 26.8382, 3.3334, 1.5843, 97.8830
test_total_loss, test_cross_entropy_loss, test_kl_loss, test_argmax_MAE, test_accuracy:
33.0443, 63.0974, 33.0443, 10.0909, 88.7971

******************************************************************
train and test on ID: 6
******************************************************************
epoch, train_total_loss, train_cross_entropy_loss, train_kl_loss, train_argmax_MAE, train_accuracy
001, 19.9437, 46.0202, 19.9437, 9.8778, 88.4644
002, 12.0131, 37.6356, 12.0131, 6.1455, 93.2680
003, 11.1228, 36.5435, 11.1228, 5.7455, 93.6762
004, 9.8354, 35.0119, 9.8354, 5.1717, 94.2883
005, 8.7438, 33.5854, 8.7438, 4.5707, 94.8311
006, 8.7276, 33.5930, 8.7276, 4.4636, 94.9781
007, 8.4896, 33.3616, 8.4896, 4.4000, 95.0117
008, 7.5236, 32.0169, 7.5236, 3.8848, 95.5311
009, 7.1963, 31.6342, 7.1963, 3.5990, 95.8188
010, 6.8427, 31.2745, 6.8427, 3.5626, 95.8616
011, 7.1278, 31.5843, 7.1278, 3.6232, 95.8147
012, 6.5949, 30.9274, 6.5949, 3.4687, 95.9382
