******************************************************************
records on Chaleran LAP 2015 dataset
******************************************************************


epoch, train_total_loss, train_cross_entropy_loss, train_kl_loss, train_argmax_MAE, train_epsilon_error, train_accuracy
048, 5.2576, 29.3909, 5.2576, 2.7486, 0.2380, 96.7007
049, 5.3917, 29.5719, 5.3917, 2.8151, 0.2406, 96.6266
050, 5.3475, 29.5418, 5.3475, 2.8203, 0.2443, 96.6252
051, 5.3636, 29.5165, 5.3636, 2.8128, 0.2432, 96.6414
052, 5.3215, 29.4509, 5.3215, 2.7841, 0.2381, 96.6568
053, 5.3805, 29.5564, 5.3805, 2.8397, 0.2439, 96.6059
054, 5.3169, 29.4547, 5.3169, 2.7998, 0.2378, 96.6534
055, 5.3388, 29.4908, 5.3388, 2.8045, 0.2400, 96.6417
056, 5.3837, 29.5543, 5.3837, 2.8059, 0.2403, 96.6358
057, 5.3318, 29.4904, 5.3318, 2.7949, 0.2365, 96.6453
058, 5.3368, 29.5036, 5.3368, 2.8020, 0.2414, 96.6498
059, 5.3138, 29.4627, 5.3138, 2.7553, 0.2353, 96.6909
060, 5.3754, 29.5051, 5.3754, 2.8322, 0.2447, 96.6109
061, 5.3195, 29.4477, 5.3195, 2.7940, 0.2373, 96.6576
062, 5.3172, 29.4832, 5.3172, 2.7943, 0.2408, 96.6461
063, 5.2395, 29.3874, 5.2395, 2.7411, 0.2376, 96.7085
064, 5.2550, 29.3937, 5.2550, 2.7231, 0.2343, 96.7130
065, 5.3967, 29.5757, 5.3967, 2.8411, 0.2474, 96.6000
test_total_loss, test_cross_entropy_loss, test_kl_loss, test_argmax_MAE, test_epsilon_error, test_accuracy:
5.2993, 29.3813, 5.2993, 2.8239, 0.2557, 96.6327
CS_1, CS_2, CS_3, CS_4, CS_5, CS_6, CS_7, CS_8, CS_9, CS_10:
0.348, 0.542, 0.700, 0.798, 0.881, 0.925, 0.953, 0.971, 0.980, 0.986

test_total_loss, test_cross_entropy_loss, test_kl_loss, test_argmax_MAE, test_epsilon_error, test_accuracy:
5.2993, 29.3813, 5.2993, 2.8239, 0.2557, 96.6327
CS_1, CS_2, CS_3, CS_4, CS_5, CS_6, CS_7, CS_8, CS_9, CS_10:
0.348, 0.542, 0.700, 0.798, 0.881, 0.925, 0.953, 0.971, 0.980, 0.986

test_total_loss, test_cross_entropy_loss, test_kl_loss, test_argmax_MAE, test_epsilon_error, test_accuracy:
5.2930, 29.1883, 5.2930, 2.8397, 0.2567, 96.6271
CS_1, CS_2, CS_3, CS_4, CS_5, CS_6, CS_7, CS_8, CS_9, CS_10:
0.348, 0.541, 0.694, 0.801, 0.882, 0.923, 0.951, 0.967, 0.979, 0.987

**********************************************:
**********************************************:
test_total_loss, test_cross_entropy_loss, test_kl_loss, test_argmax_MAE, test_epsilon_error, test_accuracy:
5.1352, 29.2478, 5.1352, 2.7257, 0.2493, 96.7300
CS_1, CS_2, CS_3, CS_4, CS_5, CS_6, CS_7, CS_8, CS_9, CS_10:
0.373, 0.557, 0.700, 0.814, 0.880, 0.928, 0.956, 0.974, 0.986, 0.992

test_total_loss, test_cross_entropy_loss, test_kl_loss, test_argmax_MAE, test_epsilon_error, test_accuracy:
5.1352, 29.2478, 5.1352, 2.7257, 0.2493, 96.7300
CS_1, CS_2, CS_3, CS_4, CS_5, CS_6, CS_7, CS_8, CS_9, CS_10:
0.373, 0.557, 0.700, 0.814, 0.880, 0.928, 0.956, 0.974, 0.986, 0.992

test_total_loss, test_cross_entropy_loss, test_kl_loss, test_argmax_MAE, test_epsilon_error, test_accuracy:
5.1232, 29.0482, 5.1232, 2.7424, 0.2500, 96.7235
CS_1, CS_2, CS_3, CS_4, CS_5, CS_6, CS_7, CS_8, CS_9, CS_10:
0.362, 0.551, 0.699, 0.809, 0.888, 0.929, 0.955, 0.973, 0.986, 0.993

